"category","transit_trips","transit_share","non_transit_trips","non_transit_share","total_trips"
"City to City (ENT 09-09)",2941550,24.9545815671788,8846065,75.0454184328212,11787615
"Suburb to Suburb (ENT 13/15 - 13/15)",3006398,21.935859894087,10699005,78.064140105913,13705403
