"category","transit_trips","transit_share","non_transit_trips","non_transit_share","total_trips"
"City to City (ENT 09-09)",27758,25.1246820720305,82723,74.8753179279695,110481
"Suburb to Suburb (ENT 13/15 - 13/15)",28641,21.6909899197976,103400,78.3090100802024,132041
