"mode","n"
"BRT",2412
"BRT_Bus",2041
"BRT_Bus_Metro",392
"BRT_Bus_Metro_Other",18
"BRT_Bus_Other",66
"BRT_Metro",566
"BRT_Metro_Other",53
"BRT_Other",136
"Bicycle",2022
"Bus",31403
"Bus_Metro",13397
"Bus_Metro_Other",423
"Bus_Other",894
"Drive",28960
"Metro",7212
"Metro_Other",739
"Moto",1195
"Other",241
"Taxi",7407
"Walk",42198
