"mode","weighted_n"
"BRT",20529
"BRT_Bus",102532
"BRT_Bus_Metro",96443
"BRT_Bus_Metro_Other",6597
"BRT_Bus_Other",3588
"BRT_Metro",65561
"BRT_Metro_Other",19158
"BRT_Other",4512
"Bicycle",15945
"Bus",1051927
"Bus_Metro",1528549
"Bus_Metro_Other",68775
"Bus_Other",56627
"Drive",1003890
"Metro",118834
"Metro_Other",60206
"Moto",35673
"Other",7325
"Taxi",67946
"Walk",98140
