"mode","weighted_n"
"BRT",54597
"BRT_Bus",73203
"BRT_Bus_Metro",20312
"BRT_Bus_Metro_Other",1216
"BRT_Bus_Other",5685
"BRT_Metro",9446
"BRT_Metro_Other",3581
"BRT_Other",12914
"Bicycle",459249
"Bus",4198523
"Bus_Metro",138826
"Bus_Metro_Other",10569
"Bus_Other",115581
"Drive",2219586
"Metro",21776
"Metro_Other",5686
"Moto",194685
"Other",32680
"Taxi",644553
"Walk",6549964
