"mode_key","count"
"Bus",32005
"Other",30186
"Bus_Metro",11009
"Metro",6243
"Bus_Other",863
"Bus_Metro_Other",548
"Metro_Other",492
"BRT_Bus_Metro",136
"BRT_Bus",91
"BRT_Metro",80
"BRT_Metro_Other",9
"BRT_Bus_Metro_Other",4
"BRT_Bus_Other",3
"BRT_Other",2
