"P5_14_merged","weighted_n"
"BRT_Bus",224642
"BRT_Bus_Metro",50385
"BRT_Bus_Metro_Other",2413
"BRT_Bus_Other",7821
"BRT_Metro",61350
"BRT_Metro_Other",5827
"BRT_Other",13881
"Bus",188766
"Bus_Metro",1522076
"Bus_Metro_Other",52469
"Bus_Other",106203
"Metro",13983
"Metro_Other",79465
"Other",7660
