"P5_14_merged","n"
"BRT_Bus",1590
"BRT_Bus_Metro",996
"BRT_Bus_Metro_Other",60
"BRT_Bus_Other",77
"BRT_Metro",640
"BRT_Metro_Other",190
"BRT_Other",145
"Bus",1748
"Bus_Metro",15150
"Bus_Metro_Other",688
"Bus_Other",1610
"Metro",64
"Metro_Other",603
"Other",51
