"MUN","metro_only_count","bus_only_count","bus_metro_count"
"039",138,1383,508
"029",117,897,340
"037",202,1107,552
"046",5,32,18
"057",830,3713,2095
"038",1,8,3
"104",955,2470,1358
"013",485,1732,979
"060",371,1501,891
"095",94,454,195
"121",493,2538,1122
"112",4,46,32
"024",139,482,283
"109",622,1997,1081
"053",64,128,58
"023",5,120,62
"091",34,335,84
"035",101,478,121
"120",101,667,226
"096",26,256,49
"010",8,135,23
"036",7,217,47
"044",31,120,64
"059",23,104,40
"108",117,513,168
"020",228,1173,578
"033",1471,6863,3350
"058",946,5161,2275
"081",400,1729,878
"125",14,64,20
"002",141,765,382
"011",33,273,172
"100",21,169,62
"092",22,123,72
"016",11,66,24
"061",7,6,10
"065",9,46,24
"075",7,26,28
"084",11,59,24
"099",352,1379,546
"030",21,53,40
"028",19,78,48
"069",0,22,0
"093",23,38,24
"031",387,2409,1145
"070",38,840,267
"122",90,473,363
"025",22,189,51
"050",0,0,4
