"MUN","metro_only_count","bus_only_count","bus_metro_count"
"015",1705,911,536
"017",1204,993,712
"016",428,761,327
"014",959,517,373
"006",728,1113,970
"007",1674,7469,4285
"002",577,1209,702
"005",1830,3891,2660
"003",426,2365,1257
"012",216,3098,1172
"010",175,3764,1534
"008",12,1149,362
"004",5,1872,357
"013",98,2218,623
"009",5,548,192
"011",267,1281,867
