"MUN","metro_only_count","bus_only_count","bus_metro_count"
"015",620,1987,1198
"017",513,1991,1056
"016",459,1445,829
"014",489,2280,1150
"006",380,1848,909
"007",1408,5931,3107
"002",332,1702,878
"005",1504,5831,2700
"003",824,3208,1548
"012",659,2397,1258
"010",808,3561,1772
"008",148,901,394
"004",302,1089,512
"013",332,1429,656
"009",158,349,213
"011",242,1128,524
