"category","transit_trips","transit_share","non_transit_trips","non_transit_share","total_trips"
"City to City (ENT 09-09)",3534305,59.8616830046955,2369814,40.1383169953045,5904119
"Suburb to Suburb (ENT 13/15 - 13/15)",3011247,58.7902233884288,2110773,41.2097766115712,5122020
