"category","transit_trips","transit_share","non_transit_trips","non_transit_share","total_trips"
"City to City (ENT 09-09)",41401,59.9580014482259,27649,40.0419985517741,69050
"Suburb to Suburb (ENT 13/15 - 13/15)",28380,59.7775718257646,19096,40.2224281742354,47476
